Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
0781311B;Ecole maternelle Les Campanules;Ecole;Public;Rue Duguay Trouin;;78200 MANTES LA JOLIE;78200;78361;Mantes-la-Jolie;78;25;11;1;0;;;;0130332520;;;ce.0781311B@ac-versailles.fr;1;0;0;;;;;;;;;;;;;REP+;;21780361800388;89;;49.0052941133,1.69377947981;SANS OBJET;Yvelines;Versailles;Ile-de-France;604435.6;6879165.9;EPSG:2154;Circonscription d'inspection du 1er degré de Mantes la Jolie II;49.005294113275404;1.6937794798078942;Numéro de rue;1980-09-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0781977A;;;25002;078B-MANTES-LA-JOLIE
0781465U;Ecole élémentaire Ferdinand Buisson;Ecole;Public;02  RUE FERDINAND BUISSON;;78200 MANTES LA JOLIE;78200;78361;Mantes-la-Jolie;78;25;11;0;1;;;;0130940073;;;ce.0781465U@ac-versailles.fr;1;0;0;;;;;;;;;;;;;REP+;;21780361800131;224;;48.9980266957,1.69824979801;SANS OBJET;Yvelines;Versailles;Ile-de-France;604749.3;6878352.4;EPSG:2154;Circonscription d'inspection du 1er degré de Mantes la Jolie I;48.99802669571216;1.698249798009337;Numéro de rue;1965-05-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0781977A;;;25002;078B-MANTES-LA-JOLIE
0782184A;Ecole maternelle Les Jonquilles;Ecole;Public;04  RUE DENIS PAPIN;;78200 MANTES LA JOLIE;78200;78361;Mantes-la-Jolie;78;25;11;1;0;;;;0130947197;;;ce.0782184A@ac-versailles.fr;1;0;0;;;;;;;;;;;;;REP+;;21780361800321;97;;48.9950107646,1.68254950431;SANS OBJET;Yvelines;Versailles;Ile-de-France;603595.0;6878036.1;EPSG:2154;Circonscription d'inspection du 1er degré de Mantes la Jolie I;48.99501076461422;1.6825495043090446;Numéro de rue;1965-05-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0781977A;;;25002;078B-MANTES-LA-JOLIE
0783436L;Ecole élémentaire Henri Matisse;Ecole;Public;1  RUE HENRI MATISSE;;78200 MANTES LA JOLIE;78200;78361;Mantes-la-Jolie;78;25;11;1;1;;;;0134001530;;;ce.0783436L@ac-versailles.fr;1;0;0;;;;;;;;;;;;;REP+;;21780361800289;198;;49.0047711678,1.68336955336;SANS OBJET;Yvelines;Versailles;Ile-de-France;603673.1;6879120.4;EPSG:2154;Circonscription d'inspection du 1er degré de Mantes la Jolie I;49.00477116781019;1.683369553358562;Numéro de rue;1999-09-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0781977A;;;25002;078B-MANTES-LA-JOLIE
0783583W;Ecole élémentaire Mille Visages;Ecole;Public;6 rue des Petits Pas;;78570 CHANTELOUP LES VIGNES;78570;78138;Chanteloup-les-Vignes;78;25;11;1;1;;;;0139749329;;;ce.0783583W@ac-versailles.fr;1;0;0;;;;;;;;;;;;;REP+;;21780138000023;168;;48.9747852285,2.02762027644;SANS OBJET;Yvelines;Versailles;Ile-de-France;628816.5;6875420.9;EPSG:2154;Circonscription d'inspection du 1er degré de Chanteloup les Vignes;48.97478522852576;2.0276202764411444;Numéro de rue;2008-09-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0781986K;;;25003;078C-POISSY-SARTROUVILLE
0783584X;Ecole élémentaire R. Dorgelès;Ecole;Public;4 ter rue des Petits Pas;;78570 CHANTELOUP LES VIGNES;78570;78138;Chanteloup-les-Vignes;78;25;11;1;1;;;;0139749137;;;ce.0783584X@ac-versailles.fr;1;0;0;;;;;;;;;;;;;REP+;;21780138000114;215;;48.9730118135,2.03072977469;SANS OBJET;Yvelines;Versailles;Ile-de-France;629041.7;6875220.9;EPSG:2154;Circonscription d'inspection du 1er degré de Chanteloup les Vignes;48.973011813485954;2.0307297746928166;Numéro de rue;2008-09-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0781986K;;;25003;078C-POISSY-SARTROUVILLE
0780486E;Ecole régionale du premier degré;Ecole;Public;36 quai de la République;;78700 CONFLANS STE HONORINE;78700;78172;Conflans-Sainte-Honorine;78;25;11;0;1;;;;0139721155;;;ce.0780486E@ac-versailles.fr;1;1;0;;;;;;;;;;;;;;;19780486700012;;;48.9913154698,2.08520065645;SANS OBJET;Yvelines;Versailles;Ile-de-France;633052.8;6877208.7;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Quentin en Yvelines - ASH 2 des Yvelines;48.99131546983174;2.0852006564470114;Numéro de rue;1965-05-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;169;ECOLE REGIONALE DU PREMIER DEGRE;99;0780050F;;;25003;078C-POISSY-SARTROUVILLE
0783695T;Ecole maternelle René Dorme;Ecole;Public;4 rue grange Dame Rose;;78140 VELIZY VILLACOUBLAY;78140;78640;Vélizy-Villacoublay;78;25;11;1;0;;;;;;;ce.0783695T@ac-versailles.fr;0;0;0;;;;;;;;;;;;;;;;67;;48.7807051114,2.20447060158;SANS OBJET;Yvelines;Versailles;Ile-de-France;641545.0;6853695.9;EPSG:2154;Circonscription d'inspection du 1er degré de Vélizy Villacoublay;48.78070511135753;2.2044706015843043;Numéro de rue;2017-06-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0780210E;;;25007;078G-PLAISIR-VERSAILLES
0782441E;Ecole maternelle Blaise Pascal;Ecole;Public;19 rue Blaise Pascal;;78300 POISSY;78300;78498;Poissy;78;25;11;1;0;;;;0139225615;;;ce.0782441E@ac-versailles.fr;1;0;0;;;;;;;;;;;;;REP+;;21780498800202;172;;48.918599631,2.0309504715;SANS OBJET;Yvelines;Versailles;Ile-de-France;628983.6;6869170.3;EPSG:2154;Circonscription d'inspection du 1er degré de Poissy;48.91859963099864;2.0309504715044864;Numéro de rue;1965-05-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0783358B;;;25003;078C-POISSY-SARTROUVILLE
0780111X;Ecole élémentaire privée Sainte Thérèse;Ecole;Privé;11 rue Kléber;;78800 HOUILLES;78800;78311;Houilles;78;25;11;1;1;;;;0139686437;;;ce.0780111X@ac-versailles.fr;1;0;0;;;;;;;;;;;;;;;77570658300025;400;;48.9267869827,2.18481964137;CONTRAT D'ASSOCIATION TOUTES CLASSES;Yvelines;Versailles;Ile-de-France;640268.8;6869953.3;EPSG:2154;Circonscription d'inspection du 1er degré de Chatou;48.92678698269727;2.184819641372207;Numéro de rue;1969-02-18;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;;;;25003;078C-POISSY-SARTROUVILLE
0780329J;Ecole élémentaire;Ecole;Public;568 grande rue;;78910 CIVRY LA FORET;78910;78163;Civry-la-Forêt;78;25;11;1;1;;;;0134877626;;;ce.0780329J@ac-versailles.fr;0;0;0;;;;;;;;;;;;;;;21780163800024;37;;48.8671061796,1.61503998905;SANS OBJET;Yvelines;Versailles;Ile-de-France;598406.0;6863899.5;EPSG:2154;Circonscription d'inspection du 1er degré de Beynes;48.86710617964241;1.6150399890512221;Numéro de rue;1965-05-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;078008;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0780713B;;;25004;078D-RAMBOUILLET
0780942A;Ecole élémentaire du bois de houx;Ecole;Public;5 place du Village;;78910 BEHOUST;78910;78053;Béhoust;78;25;11;1;1;;;;0134872140;;;ce.0780942A@ac-versailles.fr;0;0;0;;;;;;;;;;;;;;;21780053100022;34;;48.8300091832,1.72171937349;SANS OBJET;Yvelines;Versailles;Ile-de-France;606164.0;6859643.1;EPSG:2154;Circonscription d'inspection du 1er degré de Beynes;48.830009183199806;1.7217193734916225;Numéro de rue;1965-05-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0780713B;;;25004;078D-RAMBOUILLET
0781397V;Ecole élémentaire;Ecole;Public;16 grande rue;;78440 DROCOURT;78440;78202;Drocourt;78;25;11;1;1;;;;0134767571;;;ce.0781397V@ac-versailles.fr;0;0;0;;;;;;;;;;;;;;;21780246100038;33;;49.0569774234,1.76675934893;SANS OBJET;Yvelines;Versailles;Ile-de-France;609864.2;6884827.2;EPSG:2154;Circonscription d'inspection du 1er degré de Mantes la Jolie II;49.05697742336086;1.7667593489348696;Numéro de rue;1965-05-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0781098V;;;25002;078B-MANTES-LA-JOLIE
0781426B;Ecole élémentaire;Ecole;Public;06 rue DU CLOS BOULET;;78200 FONTENAY MAUVOISIN;78200;78245;Fontenay-Mauvoisin;78;25;11;1;1;;;;0134765742;;;ce.0781426B@ac-versailles.fr;0;0;0;;;;;;;;;;;;;;;21780245300027;67;;48.9658569496,1.65358044628;SANS OBJET;Yvelines;Versailles;Ile-de-France;601420.1;6874830.2;EPSG:2154;Circonscription d'inspection du 1er degré de Rosny sur Seine;48.965856949552695;1.6535804462762662;Numéro de rue;1965-05-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;078010;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0781916J;;;25002;078B-MANTES-LA-JOLIE
0782080M;Centre de rencontres enfantines Montessori;Ecole;Privé;10 chemin DU VIVIER Hameau de Villeneuve;;78310 MAUREPAS;78310;78383;Maurepas;78;25;11;1;1;;;;0130663961;;;cremontessori@free.fr;0;0;0;;;;;;;;;;;;;;;38239919400010;47;;48.7781864795,1.90746304104;HORS CONTRAT;Yvelines;Versailles;Ile-de-France;619718.4;6853676.8;EPSG:2154;Circonscription d'inspection du 1er degré d'Elancourt;48.7781864794829;1.9074630410438735;Numéro de rue;1993-06-30;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;10;;;;25006;078F-SAINT-QUENTIN-EN-YVELINES
0783631Y;Ecole élémentaire privée Montessori internationale El Nido;Ecole;Privé;1120 route DES ALLUETS;;78630 ORGEVAL;78630;78466;Orgeval;78;25;11;1;1;;;;0139746366;;;elnido.montessori@gmail.com;0;0;0;;;;;;;;;;;;;;;;47;;48.9174240866,1.95229558735;HORS CONTRAT;Yvelines;Versailles;Ile-de-France;623218.0;6869113.2;EPSG:2154;Circonscription d'inspection du 1er degré de Poissy;48.91742408655214;1.9522955873517476;Numéro de rue;2012-06-01;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;10;;;;25003;078C-POISSY-SARTROUVILLE
0780039U;Ecole élémentaire privée Saint Martin;Ecole;Privé;92 rue du Président Roosevelt;;78500 SARTROUVILLE;78500;78586;Sartrouville;78;25;11;1;1;;;;0139151335;;;ce.0780039U@ac-versailles.fr;1;0;0;;;;;;;;;;;;;;;32052829200016;404;;48.9444762904,2.17118057524;CONTRAT D'ASSOCIATION TOUTES CLASSES;Yvelines;Versailles;Ile-de-France;639290.1;6871930.7;EPSG:2154;Circonscription d'inspection du 1er degré de Sartrouville;48.94447629040738;2.171180575235726;Numéro de rue;1969-02-24;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;;;;25003;078C-POISSY-SARTROUVILLE
0780054K;Ecole élémentaire privée Notre-Dame;Ecole;Privé;13 bis rue Saint-Simon;;78000 VERSAILLES;78000;78646;Versailles;78;25;11;1;1;;;;0139501474;;;ce.0780054K@ac-versailles.fr;1;0;0;;;;;;;;;;;;;;;31526793000016;228;;48.8040934767,2.13479947937;CONTRAT D'ASSOCIATION TOUTES CLASSES;Yvelines;Versailles;Ile-de-France;636454.3;6856350.1;EPSG:2154;Circonscription d'inspection du 1er degré de Montigny le Bretonneux;48.80409347670097;2.1347994793699456;Numéro de rue;1969-02-24;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;;;;25007;078G-PLAISIR-VERSAILLES
0780080N;Ecole élémentaire privée Sainte Marie;Ecole;Privé;45 rue du Fossé;;78600 MAISONS LAFFITTE;78600;78358;Maisons-Laffitte;78;25;11;1;1;;;;0139625430;;;ce.0780080N@ac-versailles.fr;1;0;0;;;;;;;;;;;;;;;77570673200028;385;;48.9488396285,2.14505002799;CONTRAT D'ASSOCIATION TOUTES CLASSES;Yvelines;Versailles;Ile-de-France;637381.4;6872436.3;EPSG:2154;Circonscription d'inspection du 1er degré de Vélizy Villacoublay;48.94883962847778;2.1450500279927134;Numéro de rue;1969-02-24;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;;;;25003;078C-POISSY-SARTROUVILLE
0780099J;Ecole élémentaire privée Sainte Thérèse;Ecole;Privé;27 rue Lachaux;;78120 RAMBOUILLET;78120;78517;Rambouillet;78;25;11;1;1;;;;0131086460;;;ce.0780099J@ac-versailles.fr;1;0;0;;;;;;;;;;;;;;;30404870500012;443;;48.6473666817,1.82221051935;CONTRAT D'ASSOCIATION TOUTES CLASSES;Yvelines;Versailles;Ile-de-France;613237.4;6839223.8;EPSG:2154;Circonscription d'inspection du 1er degré de Rambouillet;48.64736668172541;1.8222105193479132;Numéro de rue;1969-02-07;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;;;;25004;078D-RAMBOUILLET
0780110W;Ecole élémentaire privée Ecole Anglaise de Paris;Ecole;Privé;Rue HANS LIST;;78290 CROISSY SUR SEINE;78290;78190;Croissy-sur-Seine;78;25;11;1;1;;;;0134804590;;;headmaster@britishschool.fr;1;0;0;;;;;;;;;;;;;;;34016294000027;330;;48.8755348164,2.12640955183;HORS CONTRAT;Yvelines;Versailles;Ile-de-France;635926.0;6864300.2;EPSG:2154;Circonscription d'inspection du 1er degré de La Celle Saint Cloud - TICE;48.87553481640144;2.126409551829577;Numéro de rue;1969-02-18;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;10;;;;25005;078E-SAINT-GERMAIN-EN-LAYE
0780129S;Ecole élémentaire privée Notre-Dame;Ecole;Privé;22 ter rue Alexandre Dumas;;78100 ST GERMAIN EN LAYE;78100;78551;Saint-Germain-en-Laye;78;25;11;1;1;;;;0139737211;;;ce.0780129S@ac-versailles.fr;1;0;1;;;;;;;;;;;;;;;78512428000047;543;;48.8929810344,2.09618960131;CONTRAT D'ASSOCIATION TOUTES CLASSES;Yvelines;Versailles;Ile-de-France;633731.8;6866265.0;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Germain;48.89298103440569;2.0961896013085557;Numéro de rue;1969-02-18;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;;;;25005;078E-SAINT-GERMAIN-EN-LAYE
0780135Y;Ecole élémentaire privée Pensionnat Notre-Dame;Ecole;Privé;106 GRANDE RUE GRANDE RUE;;78480 VERNEUIL SUR SEINE;78480;78642;Verneuil-sur-Seine;78;25;11;1;1;;;;0139281515;;;ce.0780135Y@ac-versailles.fr;1;1;0;;;;;;;;;;;;;;;78513892600031;766;;48.982384624,1.97643065846;CONTRAT D'ASSOCIATION TOUTES CLASSES;Yvelines;Versailles;Ile-de-France;625080.3;6876313.3;EPSG:2154;Circonscription d'inspection du 1er degré de Meulan;48.98238462397846;1.9764306584612479;Numéro de rue;1969-02-18;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;;;;25003;078C-POISSY-SARTROUVILLE
0780148M;Ecole élémentaire privée Le Bon Sauveur;Ecole;Privé;06 rue HENRI CLOPPET;;78110 LE VESINET;78110;78650;Le Vésinet;78;25;11;1;1;;;;0130159292;;;ce.0780148M@ac-versailles.fr;1;0;0;;;;;;;;;;;;;;;78504552700039;378;;48.8877798799,2.14665949506;CONTRAT D'ASSOCIATION TOUTES CLASSES;Yvelines;Versailles;Ile-de-France;637425.9;6865645.5;EPSG:2154;Circonscription d'inspection du 1er degré du Vésinet;48.887779879877584;2.1466594950598124;Numéro de rue;1969-02-18;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;;;;25005;078E-SAINT-GERMAIN-EN-LAYE
0780153T;Ecole élémentaire Jean Moulin;Ecole;Public;50 rue de l'Aurore;;78100 ST GERMAIN EN LAYE;78100;78551;Saint-Germain-en-Laye;78;25;11;0;1;;;;0139218235;;;ce.0780153T@ac-versailles.fr;1;0;0;;;;;;;;;;;;;;;20008692400210;277;;48.8934222904,2.07065032767;SANS OBJET;Yvelines;Versailles;Ile-de-France;631859.9;6866335.8;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Germain;48.89342229036049;2.0706503276719355;Numéro de rue;1969-03-17;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0781204K;;;25005;078E-SAINT-GERMAIN-EN-LAYE
0780175S;Ecole maternelle Pauline Kergomard;Ecole;Public;26 rue Hélène;;78260 ACHERES;78260;78005;Achères;78;25;11;1;0;;;;0139220154;;;ce.0780175S@ac-versailles.fr;1;0;0;;;;;;;;;;;;;;;21780005100021;79;;48.966165011,2.07065984269;SANS OBJET;Yvelines;Versailles;Ile-de-France;631955.8;6874424.4;EPSG:2154;Circonscription d'inspection du 1er degré de Conflans Sainte Honorine;48.96616501095628;2.0706598426947203;Numéro de rue;1969-03-17;2020-10-01;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0783248G;;;25003;078C-POISSY-SARTROUVILLE
